conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;,processed_tweet
1857758719838163192,Sat Nov 16 12:12:48 +0000 2024,0.0,Presiden Prabowo Subianto mendukung proses hukum terhadap oknum pejabat Kementerian Komunikasi dan Digital (Komdigi) yang terlibat judi online. #DukungPrabowo #SuksesPrabowo #berantasjudionline #PrabowoBerdedikasi #KaryaNyata https://t.co/GQYX11LFQT,1.8577587198381632e+18,https://pbs.twimg.com/ext_tw_video_thumb/1857758396067540992/pu/img/7xHCfQdnHIytCLlW.jpg,,in,,0.0,0.0,0.0,https://x.com/selputtt/status/1857758719838163192,1.5565524019931013e+18,selputtt;,presiden prabowo subianto mendukung proses hukum oknum pejabat kementerian komunikasi digital komdigi terlibat judi online dukungprabowo suksesprabowo berantasjudionline prabowoberdedikasi karyanyata
"1857750621627314258,Sat Nov 16 11:40:38 +0000 2024,0,https://t.co/v94w1xg4Cm SMSI Pusat Dukung Komdigi Meregulasi Media Digital breaking news...... https://t.co/B9QgjIZ6gR,1857750621627314258,https://pbs.twimg.com/media/GcgOTHQaMAEVoaS.jpg,,in,""Jawa Barat, Indonesia"",0,0,0,https://x.com/tarungnews2/status/1857750621627314258,765762376838840346,tarungnews2;",,,,,,,,,,,,,,,
1857743934090522986,Sat Nov 16 11:14:03 +0000 2024,4.0,Sebanyak 440 Ribu Pelajar Terpapar Judi Online Menteri Komdigi Meutya Hafid Bilang Begini https://t.co/5HlyBZZB09,1.857743934090523e+18,,,in,Indonesia,0.0,0.0,0.0,https://x.com/BeritakanID_com/status/1857743934090522986,1.5124834426003415e+18,BeritakanID_com;,440 ribu pelajar terpapar judi online menteri komdigi meutya hafid bilang
"1857739550048792952,Sat Nov 16 10:56:38 +0000 2024,0,Presiden Prabowo Subianto mendukung proses hukum terhadap oknum pejabat Kementerian Komunikasi dan Digital (Komdigi) yang terlibat judi online. #DukungPrabowo #SuksesPrabowo #berantasjudionline #PrabowoBerdedikasi #KaryaNyata https://t.co/0Uo8yVzvlh,1857739550048792952,https://pbs.twimg.com/ext_tw_video_thumb/1857739349749805056/pu/img/z2nKBA0Y54d_Tnsc.jpg,,in,""West Nusa Tenggara, Indonesia"",0,0,0,https://x.com/brayen43492916/status/1857739550048792952,1582977207554932736,brayen43492916;",,,,,,,,,,,,,,,
"1857734005749330343,Sat Nov 16 10:34:36 +0000 2024,0,Jumlah DPO Kasus Judol Oknum Komdigi Terus Bertambah https://t.co/eijDDkMedX,1857734005749330343,,,in,""Bandung, West Java, Indonesia"",0,0,0,https://x.com/PRFMnews/status/1857734005749330343,150589950,PRFMnews;",,,,,,,,,,,,,,,
"1857733523760980259,Sat Nov 16 10:32:41 +0000 2024,0,🆙🆙🆙🆙🆙 Ketegasan Pemerintah Memberantas Judi Online Presiden Indonesia Prabowo Subianto pastikan akan menindak tegas siapapun yang menjadi beking Judi online tanpa terkecuali oknum Pejabat komdigi!! #DukungPrabowo #berantasjudionline #PrabowoBerdedikasi #KaryaNyata https://t.co/ZPWRbuiPc2,1857733523760980259,https://pbs.twimg.com/ext_tw_video_thumb/1857733466479312896/pu/img/LH93ePXyXsjv6P0W.jpg,,in,""Cimahi Selatan, Indonesia"",0,0,0,https://x.com/MatiPocong1/status/1857733523760980259,1426333726615609348,MatiPocong1;",,,,,,,,,,,,,,,
1857733429737214071,Sat Nov 16 10:32:19 +0000 2024,3.0,Sebanyak 440 Ribu Pelajar Terpapar Judi Online Menteri Komdigi Meutya Hafid Bilang Begini https://t.co/6CDQyabzRm,1.857733429737214e+18,,,in,Indonesia,0.0,0.0,0.0,https://x.com/geloraco/status/1857733429737214071,3319260420.0,geloraco;,440 ribu pelajar terpapar judi online menteri komdigi meutya hafid bilang
1857639712720306471,Sat Nov 16 10:09:41 +0000 2024,2.0,@Opposisi6890 @opposite6892 Syangny X gak peduli... Kmha cara lapor ke komdigi untk X ini,1.85772773315514e+18,,Opposisi6890,in,,0.0,0.0,0.0,https://x.com/Agung74246736/status/1857727733155139636,1.561971456954622e+18,Agung74246736;,syangny x gak peduli kmha lapor komdigi untk x
"1857725045243822223,Sat Nov 16 09:59:00 +0000 2024,8,Dukung Komdigi Berantas Judi Online Gavriel Novanto Sebut Komisi I DPR RI Bakal Bentuk Panja Judol #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/ZhHb76ZKfN,1857725045243822223,,,in,""DKI Jakarta, Indonesia"",0,0,43,https://x.com/golkarpedia/status/1857725045243822223,721898354502930433,golkarpedia;",,,,,,,,,,,,,,,
1857724336322564582,Sat Nov 16 09:56:11 +0000 2024,0.0,Pas lagi ramai kasus tentang oknum Komdigi yang diduga melindungi situs judol ada video yang viral nih. Katanya sih itu video temuan uang dalam laci di ruangan staf khusus eks Menteri Kominfo Budi Arie. Tapi jangan gampang percaya ya sahabat sini biar dikasih tau faktanya https://t.co/5Z8yXH09GI,1.8577243363225649e+18,https://pbs.twimg.com/ext_tw_video_thumb/1857724270274818048/pu/img/ntyPO7Bqk2hjH5Y9.jpg,,in,Indonesia,0.0,0.0,0.0,https://x.com/lensaRTV/status/1857724336322564582,2393930923.0,lensaRTV;,pas ramai oknum komdigi diduga melindungi situs judol video viral nih sih video temuan uang laci ruangan staf khusus eks menteri kominfo budi arie gampang percaya ya sahabat biar dikasih tau faktanya
